Table,Foreign Table,Foreign Key Column
GL_LEDGERS,gl_ledger_configurations,CONFIGURATION_ID
GL_LEDGERS,gl_code_combinations,RES_ENCUMB_CODE_COMBINATION_ID
GL_LEDGERS,gl_code_combinations,NET_INCOME_CODE_COMBINATION_ID
GL_LEDGERS,gl_code_combinations,ROUNDING_CODE_COMBINATION_ID
GL_LEDGERS,gl_transaction_calendar,TRANSACTION_CALENDAR_ID
GL_LEDGERS,gl_daily_conversion_types,DAILY_TRANSLATION_RATE_TYPE
GL_LEDGERS,gl_access_sets,IMPLICIT_ACCESS_SET_ID
GL_LEDGERS,gl_ledgers,IMPLICIT_LEDGER_SET_ID
GL_LEDGERS,gl_daily_conversion_types,PERIOD_AVERAGE_RATE_TYPE
GL_LEDGERS,gl_daily_conversion_types,PERIOD_END_RATE_TYPE
GL_LEDGERS,gl_autorev_criteria_sets,CRITERIA_SET_ID
GL_LEDGERS,gl_period_sets,PERIOD_SET_NAME
GL_LEDGERS,gl_period_types,ACCOUNTED_PERIOD_TYPE
GL_LEDGERS,gl_code_combinations,RET_EARN_CODE_COMBINATION_ID
GL_LEDGERS,gl_code_combinations,CUM_TRANS_CODE_COMBINATION_ID
ap_recon_summary_details,gl_ledgers,LEDGER_ID
jv_accounting_headers,gl_ledgers,LEDGER_ID
gl_translation_interim,gl_ledgers,LEDGER_ID
ap_invoice_payments_all,gl_ledgers,SET_OF_BOOKS_ID
gl_ledger_norm_seg_vals,gl_ledgers,LEDGER_ID
fun_trx_headers,gl_ledgers,TO_LEDGER_ID
vrm_create_event_dists_interim,gl_ledgers,LEDGER_ID
jg_zz_vat_trx_upg_stg,gl_ledgers,LEDGER_ID
je_fr_das2_ven_summary_t,gl_ledgers,SET_OF_BOOKS_ID
gl_je_lines_recon,gl_ledgers,LEDGER_ID
gl_ledger_set_assignments,gl_ledgers,LEDGER_SET_ID
gl_ledger_set_assignments,gl_ledgers,LEDGER_ID
gl_ledger_relationships,gl_ledgers,SOURCE_LEDGER_ID
gl_ledger_relationships,gl_ledgers,TARGET_LEDGER_ID
gl_ledger_relationships,gl_ledgers,PRIMARY_LEDGER_ID
gl_ledger_relationships,gl_ledgers,SLA_LEDGER_ID
gl_ledger_relationships,gl_ledgers,TARGET_LEDGER_NAME
jl_br_sped_extr_params,gl_ledgers,LEDGER_ID
gl_je_headers,gl_ledgers,LEDGER_ID
ap_tax_codes_all,gl_ledgers,SET_OF_BOOKS_ID
gl_access_set_assignments,gl_ledgers,LEDGER_ID
vrm_customer_contract_headers,gl_ledgers,LEDGER_ID
gl_interface,gl_ledgers,LEDGER_ID
gl_track_delta_balances,gl_ledgers,LEDGER_ID
jg_zz_vat_rep_entities,gl_ledgers,LEDGER_ID
fa_mc_deferred_deprn,gl_ledgers,SET_OF_BOOKS_ID
gl_translation_statuses,gl_ledgers,LEDGER_ID
vrm_ebiz_gl_balances,gl_ledgers,LEDGER_ID
ar_recon_summary_ccid,gl_ledgers,LEDGER_ID
vrm_new_ar_sources,gl_ledgers,LEDGER_ID
ar_trx_dist_line_balances_all,gl_ledgers,LEDGER_ID
vrm_ebiz_gl_je_hdr_lines,gl_ledgers,LEDGER_ID
fa_mc_books,gl_ledgers,SET_OF_BOOKS_ID
fa_mc_book_controls,gl_ledgers,SET_OF_BOOKS_ID
fa_mc_book_controls,gl_ledgers,PRIMARY_SET_OF_BOOKS_ID
ar_recon_summary_details,gl_ledgers,LEDGER_ID
cst_cost_distributions,gl_ledgers,LEDGER_ID
fun_bal_inter_accounts_addl,gl_ledgers,FROM_LEDGER_ID
fun_bal_inter_accounts_addl,gl_ledgers,TO_LEDGER_ID
gl_ledger_segment_values,gl_ledgers,LEDGER_ID
ap_selected_invoices_all,gl_ledgers,SET_OF_BOOKS_ID
jl_br_sped_prcpnt_codes,gl_ledgers,LEDGER_ID
gl_ledger_set_norm_assign,gl_ledgers,LEDGER_ID
gl_ledger_set_norm_assign,gl_ledgers,LEDGER_SET_ID
fa_mc_deprn_periods,gl_ledgers,SET_OF_BOOKS_ID
ap_recon_summary_parameters,gl_ledgers,LEDGER_ID
vrm_ledger_options,gl_ledgers,LEDGER_ID
fa_mc_mass_rates,gl_ledgers,SET_OF_BOOKS_ID
ap_invoice_lines_all,gl_ledgers,SET_OF_BOOKS_ID
je_fr_das2_details_t,gl_ledgers,SET_OF_BOOKS_ID
gl_balances_delta,gl_ledgers,LEDGER_ID
je_fr_das2_etb_headers_t,gl_ledgers,SET_OF_BOOKS_ID
gl_daily_balances,gl_ledgers,LEDGER_ID
je_fr_das2_le_headers_t,gl_ledgers,SET_OF_BOOKS_ID
gl_xfr_system_ledgers,gl_ledgers,LEDGER_ID
gl_historical_rates,gl_ledgers,LEDGER_ID
zx_acct_tx_cls_defs_all,gl_ledgers,LEDGER_ID
vrm_perf_obligation_lin_dists,gl_ledgers,LEDGER_ID
fa_mc_revaluations,gl_ledgers,SET_OF_BOOKS_ID
gl_net_income_accounts,gl_ledgers,LEDGER_ID
gl_interface_control,gl_ledgers,SET_OF_BOOKS_ID
fa_mc_retirements,gl_ledgers,SET_OF_BOOKS_ID
gl_balances_delta_interim,gl_ledgers,LEDGER_ID
fa_book_controls_history,gl_ledgers,SET_OF_BOOKS_ID
fun_bal_recon_result,gl_ledgers,FROM_LEDGER_ID
fun_bal_recon_result,gl_ledgers,TO_LEDGER_ID
fa_mc_books_rates,gl_ledgers,SET_OF_BOOKS_ID
vrm_perf_obligation_lines,gl_ledgers,LEDGER_ID
gl_automatic_posting_options,gl_ledgers,LEDGER_ID
poz_suppliers,gl_ledgers,SET_OF_BOOKS_ID
fv_gtas_data_act_rep_run,gl_ledgers,LEDGER_ID
gl_xfr_ledger_bsv_maps,gl_ledgers,LEDGER_ID
ap_distribution_set_lines_all,gl_ledgers,SET_OF_BOOKS_ID
fun_trx_batches,gl_ledgers,FROM_LEDGER_ID
ap_recon_summary_ccid,gl_ledgers,LEDGER_ID
financials_system_params_all,gl_ledgers,SET_OF_BOOKS_ID
fa_mc_deprn_detail,gl_ledgers,SET_OF_BOOKS_ID
gl_balances,gl_ledgers,LEDGER_ID
gl_je_lines,gl_ledgers,LEDGER_ID
fa_mc_deprn_summary_h,gl_ledgers,SET_OF_BOOKS_ID
gl_translation_tracking,gl_ledgers,LEDGER_ID
gl_hierview_ledger_info,gl_ledgers,LEDGER_ID
fa_mc_deprn_detail_h,gl_ledgers,SET_OF_BOOKS_ID
ap_invoices_all,gl_ledgers,SET_OF_BOOKS_ID
fun_bal_inter_rules,gl_ledgers,FROM_LEDGER_ID
fun_bal_inter_rules,gl_ledgers,TO_LEDGER_ID
fun_bal_intra_rules,gl_ledgers,LEDGER_ID
fa_mc_conversion_rates,gl_ledgers,SET_OF_BOOKS_ID
fa_mc_conversion_history,gl_ledgers,SET_OF_BOOKS_ID
xla_transfer_ledgers,gl_ledgers,SECONDARY_LEDGER_ID
xla_transfer_ledgers,gl_ledgers,PRIMARY_LEDGER_ID
fa_mc_books_summary,gl_ledgers,SET_OF_BOOKS_ID
gl_suspense_accounts,gl_ledgers,LEDGER_ID
gl_ledger_set_requests,gl_ledgers,LEDGER_ID
gl_ledger_set_requests,gl_ledgers,LEDGER_SET_ID
gl_ledgers,gl_ledgers,IMPLICIT_LEDGER_SET_ID
vrm_recon_summary_ccid,gl_ledgers,LEDGER_ID
fa_mc_deprn_summary,gl_ledgers,SET_OF_BOOKS_ID
je_fr_das2_le_etb_summ_t,gl_ledgers,SET_OF_BOOKS_ID
gl_access_set_norm_assign,gl_ledgers,LEDGER_ID
gl_period_statuses,gl_ledgers,LEDGER_ID
jl_br_sped_acct_configs_f,gl_ledgers,LEDGER_ID
xla_external_system_ledger_map,gl_ledgers,FUSION_LEDGER_ID
ap_invoice_distributions_all,gl_ledgers,SET_OF_BOOKS_ID
gl_xfr_psft_interface,gl_ledgers,LEDGER_ID
ar_recon_summary_parameters,gl_ledgers,LEDGER_ID
vrm_new_app_sources,gl_ledgers,LEDGER_ID
ap_system_parameters_all,gl_ledgers,SET_OF_BOOKS_ID
